licitacao,unidade,modalidade,item_lote,item_id,codigo_item_siga,descricao,quantidade,exclusivo_me_epp
CC 001/21,SETRANS - SECRETARIA DE ESTADO DE TRANSPORTES,CONCORRÊNCIA,Item: 1 Lote: 1,168678,0657.021.0069,"SERVICOS DE CONSULTORIA,DESCRICAO: CONSULTORIA PARA ELABORACAO DE MODELAGEM DE PROCESSO LICITATORIO PARA OUTORGA DOS SERVICOS DE GESTAO OPERACAO E MANUTENCAO DE INSTALACOES, EM TRANSPORTE AQUAVIARIO COLETIVO INTERMUNICIPAL DE PASSAGEIROS E CARGAS, TIPO SERVICO: SERVICOS DE CONSULTORIA, ORIGEM: PESSOA JURIDICA - ID:168678 - Código do Item:0657.021.0069",1,N
CC 001/23,SETRANS - SECRETARIA DE ESTADO DE TRANSPORTES,CONCORRÊNCIA,Item: 1,183435,0215.012.0005,"ESTUDOS DE VIABILIDADE TECNICO-ECONOMICO,DESCRICAO: CONTRATACAO DE EMPRESA PARA ELABORACAO DOS SERVICOS TECNICOS ESPECIALIZADOS PARA DESENVOLVIMENTO DOS ESTUDOS DE VIABILIDADE TECNICA, JURIDICA, ECONOMICA E AMBIENTAL (EVTJEA) - ID:183435 - Código do Item:0215.012.0005",1,N
CC 002/23,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,CONCORRÊNCIA,Item: 1,162556,0663.002.0005,"SERVICOS EM RODOVIAS,DESCRICAO: CONTRATACAO DE EMPRESA PARA SERVICO DE FRESAGEM E RECAPEAMENTO NAS RODOVIAS, ORIGEM: PESSOA JURIDICA - ID:162556 - Código do Item:0663.002.0005",1,N
CC 002/23,ITERJ - INSTIT DE TERRAS E CARTOGRAFIA DO EST DO RJ,CONCORRÊNCIA,Item: 1 Lote: 1,172679,0326.010.0016,"SERVICO DE PAVIMENTACAO,DESCRICAO: SERVICOS DE RECUPERACAO ASFALTICA, PAVIMENTACAO E DRENAGEM DE VIAS URBANAS, ORIGEM: PESSOA JURIDICA - ID:172679 - Código do Item:0326.010.0016",184139,N
CC 002/23,ITERJ - INSTIT DE TERRAS E CARTOGRAFIA DO EST DO RJ,CONCORRÊNCIA,Item: 2 Lote: 2,172679,0326.010.0016,"SERVICO DE PAVIMENTACAO,DESCRICAO: SERVICOS DE RECUPERACAO ASFALTICA, PAVIMENTACAO E DRENAGEM DE VIAS URBANAS, ORIGEM: PESSOA JURIDICA - ID:172679 - Código do Item:0326.010.0016",128139,N
CC 002/23,RIOTRILHOS - COMP DE TRANSP SOBRE TRILHOS DO EST DO RJ,CONCORRÊNCIA,Item: 1,113402,0794.002.0002,"CESSAO DE USO DE IMOVEL PUBLICO,DESCRICAO: UTILIZACAO DE AREA CONFORME PERMISSAO DE USO - ID:113402 - Código do Item:0794.002.0002",1,S
CC 002/23,FAETEC - CCF - FUND DE APOIO À ESCOLA TÉCNICA DO EST DO RJ,CONCORRÊNCIA,Item: 1 Lote: 1,92376,0646.001.0003,"PREDIOS PUBLICOS,DESCRICAO: CONTRATACAO DE EMPRESA DE ENGENHARIA PARA CONSTRUCAO DE PREDIO PUBLICO - ID:92376 - Código do Item:0646.001.0003",1,N
CC 003/22,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,CONCORRÊNCIA,Item: 1,157121,0787.002.0003,"SERVICO DE DESOBSTRUCAO E CONTENCAO,DESCRICAO: CONTRATACAO DE PRESTACAO DE SERVICOS DE CONTENCAO DE ENCOSTAS - ID:157121 - Código do Item:0787.002.0003",1,N
CC 004/23,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,CONCORRÊNCIA,Item: 1,162556,0663.002.0005,"SERVICOS EM RODOVIAS,DESCRICAO: CONTRATACAO DE EMPRESA PARA SERVICO DE FRESAGEM E RECAPEAMENTO NAS RODOVIAS, ORIGEM: PESSOA JURIDICA - ID:162556 - Código do Item:0663.002.0005",1,N
CC 004/23,UENF - UNIV EST DO NORTE FLUMINENSE DARCY RIB,CONCORRÊNCIA,Item: 1 Lote: 1,92376,0646.001.0003,"PREDIOS PUBLICOS,DESCRICAO: CONTRATACAO DE EMPRESA DE ENGENHARIA PARA CONSTRUCAO DE PREDIO PUBLICO - ID:92376 - Código do Item:0646.001.0003",1,N
