id_pncp,nome,cnpj,data_inclusao_pncp,categoria_instituicao,esfera,uf,plataforma_tecnologia,url_portal_acesso,endpoint_consulta_pncp,estrategia_conector,grau_reaproveitamento
3,COMPRAS.GOV.BR,00.394.460/0001-41,2021-08-05,Governo Federal,Federal,Nacional,SIASG / Compras.gov.br API,https://compras.gov.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=00394460000141,API_REST_OFICIAL,Altíssimo (Federal + centenas de municípios)
5,ECUSTOMIZE CONSULTORIA EM SOFTWARE S.A,09.397.355/0001-30,2021-08-09,Plataforma / Bolsa de Compras Privada,Multi-esfera / Nacional,Nacional,Portal de Compras Públicas (Ecustomize),https://www.portaldecompraspublicas.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=09397355000130,WEB_PORTAL / API,Altíssimo (Mais de 2.000 municípios)
6,BLL COMPRAS,10.508.843/0002-38,2021-08-09,Plataforma / Bolsa de Compras Privada,Multi-esfera / Nacional,Nacional,BLL Compras (Bolsa de Licitações e Leilões),https://bllcompras.com,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=10508843000238,WEB_PORTAL / API,Altíssimo (Mais de 3.000 municípios)
7,BOLSA BRASILEIRA DE MERCADORIAS - BBMNET LICITAÇÕES,05.342.088/0001-43,2021-08-09,Plataforma / Bolsa de Compras Privada,Multi-esfera / Nacional,Nacional,BBMNet Licitações (Bolsa Brasileira de Mercadorias),https://bbmnetlicitacoes.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=05342088000143,WEB_PORTAL / API,Altíssimo (Nacional)
9,AZ INFORMATICA LTDA,24.598.492/0001-27,2021-08-09,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=24598492000127,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=24598492000127,PNCP_API_CONSULTA,Médio (Específico da Entidade)
10,PORTAL DE COMPRAS DO ESTADO DE MINAS GERAIS,05.461.142/0001-70,2021-08-09,Governo Estadual / Secretaria Central,Estadual,MG,Portal de Compras MG (SIAD),https://compras.mg.gov.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=05461142000170,WEB_PORTAL / API,Alto (Estado de Minas Gerais)
12,BOLSA NACIONAL DE COMPRAS - BNC,25.099.967/0001-01,2021-08-09,Plataforma / Bolsa de Compras Privada,Multi-esfera / Nacional,Nacional,Bolsa Nacional de Compras (BNC),https://bnc.org.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=25099967000101,WEB_PORTAL / API,Altíssimo (Nacional)
13,LICITAR DIGITAL - PLATAFORMA DE LICITAÇÕES ONLINE,35.125.567/0001-79,2021-08-09,Plataforma / Bolsa de Compras Privada,Multi-esfera / Nacional,Nacional,Licitar Digital,https://www.licitardigital.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=35125567000179,WEB_PORTAL / API,Altíssimo (Nacional)
14,PORTAL DE COMPRAS PÚBLICAS DO ESTADO DO RIO DE JANEIRO,15.829.998/0001-09,2021-08-09,Plataforma / Bolsa de Compras Privada,Multi-esfera / Nacional,RJ,Portal de Compras RJ (SIGA / Struts2 / Solr),https://www.compras.rj.gov.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=15829998000109,API_XHR / SCRAPER,Alto (Estado do Rio de Janeiro)
16,COMPRAS PARÁ,35.747.782/0001-01,2021-08-09,Governo Estadual / Secretaria Central,Estadual,PA,Compras Pará,https://www.compraspara.pa.gov.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=35747782000101,WEB_PORTAL,Alto (Estado do Pará)
