entidade,uf,abrangencia,federacao_gestora,portal_transparencia_url,portal_dados_abertos_url,portal_compras_transacional_url,plataforma_tecnologia,tipo_acesso,cobre_compras_orcamento,confianca_verificacao,observacoes
SEST/SENAT,Nacional,Nacional,SEST SENAT (unico,sem regionais proprias),,,https://compras.sestsenat.org.br/portal/Mural.aspx,Paradigma (Mural.aspx / postback ASP.NET),Scraper HTML via postback (ja mapeado neste chat: trListaMuralProcesso_Click / btAcao_Click / btBaixaAnexo),Sim - edital + anexos + despachos por processo,Alta (testado ao vivo nesta conversa),"Unico entre os 4 sistemas que ja e nacional por natureza; arquitetura 100% reversa-engenheirada: idProcesso interno + idAnexo sequencial via btBaixaAnexo(idProcesso, idAnexo)."
SESC,Nacional,Nacional,Departamento Nacional,https://www2.sesc.com.br/portal/sesc/departamentonacional/licitacoes/ (redireciona para aviso de manutencao),,https://egov-br.paradigmabs.com.br/sescdn/portal/Mural.aspx,Paradigma (mesmo motor do SEST SENAT),Scraper HTML via postback (provavel mesma arquitetura),Provavel sim,Media (achado via busca; pagina institucional antiga esta em manutencao,mas o motor Paradigma parece ativo),Testar o mesmo padrao trListaMuralProcesso_Click/btBaixaAnexo usado no SEST SENAT antes de assumir compatibilidade total.
SESI,Nacional,Nacional,Departamento Nacional (CNI),https://www.portaldaindustria.com.br/sesi/canais/transparencia/licitacoes-e-editais/,https://www.portaldaindustria.com.br/sesi/canais/transparencia/dados-abertos/,,Plataforma propria CNI (portaldaindustria.com.br),"Portal de transparencia com secao ""Dados Abertos"" dedicada",Provavel sim,Media (fetch direto falhou por limite de rede na sessao; nao confirmei formato exato JSON/CSV),Verificar via HTTP se ha endpoint JSON/Swagger real ou so paginas HTML com links de download.
SENAI,Nacional,Nacional,Departamento Nacional (CNI),https://www.portaldaindustria.com.br/senai/canais/transparencia/licitacoes-e-editais/,https://www.portaldaindustria.com.br/senai/canais/transparencia/dados-abertos/,,Plataforma propria CNI (portaldaindustria.com.br),"Portal de transparencia com secao ""Dados Abertos"" dedicada",Provavel sim,Media (mesmo motivo acima),Mesma plataforma do SESI/DN; confirmar endpoint real.
SESI,SP,Regional,FIESP,https://transparencia.sesisp.org.br/licitacoes/licitacoes-editais,,,Desconhecida (parece portal HTML proprio),Scraper HTML (tabela de licitacoes),Parcial (so licitacoes/editais,sem confirmacao de dados abertos estruturados),Media,Existe tambem pagina institucional separada www.sesisp.org.br/licitacoes; usar a de transparencia para o RAG.
SENAI,SP,Regional,FIESP,https://transparencia.sp.senai.br/licitacoes/licitacoes-editais,,,Desconhecida,Scraper HTML (tabela de licitacoes),Parcial,Media,Mesmo dominio-irmao do SESI-SP transparencia.
SESI,MG,Regional,FIEMG,https://transparenciasesi.fiemg.com.br/licitacoeseditais,https://transparenciasesi.fiemg.com.br/DadosAbertos,,Desconhecida,Portal com aba Dados Abertos dedicada,Provavel sim,Media,Confirmar se DadosAbertos expoe API ou so exportacao de planilha.
SENAI,MG,Regional,FIEMG,https://transparenciasenai.fiemg.com.br/licitacoeseditais,https://transparenciasenai.fiemg.com.br/DadosAbertos,,Desconhecida,Portal com aba Dados Abertos dedicada,Provavel sim,Media,Mesma estrutura do SESI-MG; tambem tem /contratosconvenios.
SESI,RS,Regional,FIERGS,https://www.fiergs.org.br/transparencia/sesi/licitacoes-processos-selecao (ou www.sesirs.org.br/transparencia/sesi/licitacoes-processos-selecao),https://www.fiergs.org.br/transparencia/sesi/dados-abertos,https://compras.sistemafiergs.org.br/portal/Mural.aspx,Paradigma (portal de compras transacional) + plataforma propria FIERGS (transparencia),Dois canais: transparencia HTML/dados-abertos + portal de compras Paradigma,Sim - o portal Mural.aspx e transacional (mesma arquitetura do SEST SENAT),Alta para o portal Mural (mesmo motor ja mapeado); Media para dados-abertos,Caso raro com portal de compras Paradigma proprio alem da transparencia; maior prioridade de reuso de scraper.
SENAI,RS,Regional,FIERGS,https://www.senairs.org.br/transparencia/senai/licitacoes-processos-selecao,https://www.fiergs.org.br/transparencia/senai,https://compras.sistemafiergs.org.br/portal/Mural.aspx,Paradigma + FIERGS,Mesmo portal Mural.aspx compartilhado com SESI-RS,Sim,Alta para o Mural; Media para dados-abertos,Mesmo portal de compras do SESI-RS (unidade FIERGS unica para SESI+SENAI).
SESI,PR,Regional,Sistema FIEP,,https://www.senaipr.org.br/transparencia/dadosabertos/ (SENAI; verificar equivalente SESI),https://portaldecompras.sistemafiep.org.br/,Plataforma propria Sistema FIEP,Portal de compras separado + dados abertos SENAI confirmados,Provavel sim,Media,app2.fiepr.org.br tambem aparece como sistema correlato; checar se e o mesmo motor do portaldecompras.
SENAI,PR,Regional,Sistema FIEP,https://www.senaipr.org.br/transparencia/,https://www.senaipr.org.br/transparencia/dadosabertos/,https://portaldecompras.sistemafiep.org.br/,Plataforma propria Sistema FIEP,Dados Abertos dedicados,Provavel sim,Media,Priorizar para teste de API real.
SESI,PB,Regional,FIEP-PB,,https://transparencia.fiepb.com.br/sesi/dados-abertos/,,Desconhecida,Dados Abertos dedicados,Provavel sim,Media,
SENAI,PB,Regional,FIEP-PB,https://transparencia.fiepb.com.br/senai/licitacoes-processos-de-selecao/,,,Desconhecida,Scraper HTML,Parcial,Media,
SESI,PA,Regional,FIEPA,,https://transparencia.sesipa.org.br/dados-abertos,,Desconhecida,Dados Abertos dedicados,Provavel sim,Media,
SENAI,PA,Regional,FIEPA,https://transparencia.senaipa.org.br/processos-de-selecao,,,Desconhecida,Scraper HTML,Parcial,Media,
SESI,BA,Regional,FIEB,,https://sis.fieb.org.br/senai/transparencia/dados-abertos.aspx (verificar path equivalente SESI),,Desconhecida,Dados Abertos dedicados,Provavel sim,Media,URL de dados-abertos localizada foi a do SENAI; confirmar equivalente SESI no mesmo dominio sis.fieb.org.br.
SENAI,BA,Regional,FIEB,https://www.senaibahia.com.br/transparencia/licitacoes-e-editais/,https://sis.fieb.org.br/senai/transparencia/dados-abertos.aspx,,Desconhecida,Dados Abertos dedicados,Provavel sim,Media,
SESI,PE,Regional,FIEPE,https://transparencia.pe.sesi.org.br/licitacoes-e-editais/,,,Desconhecida,Scraper HTML,Parcial,Media,
SENAI,PE,Regional,FIEPE,https://transparencia.pe.senai.br/licitacoes-e-editais/ (tambem https://licitacoes.pe.senai.br/),,,Desconhecida,Scraper HTML,Parcial,Media,
SESI,RR,Regional,FIER,https://transparencia.sesirr.org.br/licitacoes-processos-de-selecao,,,Desconhecida,Scraper HTML,Parcial,Media,
SESC,SP,Regional,Sesc-SP,https://transparencia-sp.sesc.com.br/,,https://scr360.paradigmabs.com.br/sescsp/Default.aspx,Paradigma (portal de compras) + plataforma propria (transparencia),Portal de compras ja mapeado neste chat (Mural.aspx / btBaixaAnexo),Sim,Alta (mesmo motor do SEST SENAT,ja testado nesta conversa),Reaproveitar diretamente o scraper Playwright ja construido para SEST SENAT.
SESC,RS,Regional,Sesc-RS / Senac-RS,https://transparencia-rs.sesc.com.br/transparencia (API interna: /transparencia/dados/exibir/{id}),,https://egov.paradigmabs.com.br/sesc_senac_rs/Default.aspx,Paradigma (compras) + plataforma propria (transparencia com IDs numericos por dataset),Portal de compras conjunto SESC+SENAC via Paradigma,Sim (via portal de compras); dados de transparencia cobrem outros temas,Alta para o portal de compras; Media para a API de transparencia,"IDs de dataset (ex: 182, 193) sao especificos deste dominio; mapear catalogo completo antes de assumir o que cada ID contem."
SESC,CE,Regional,Sesc-CE,https://transparencia-ce.sesc.com.br/,https://transparencia-ce.sesc.com.br/transparencia/dados/dados_abertos/177/webservice (API JSON confirmada,mas dataset 177 = vagas/atividades gratuitas,NAO compras),,Plataforma propria (API JSON paginada confirmada),API JSON real e testada nesta conversa,porem sem dataset de compras identificado ainda,Nao confirmado para compras/orcamento,"Alta (API testada ao vivo) - Navegar o catalogo completo de dados_abertos deste dominio para achar o ID do dataset de licitacoes/despesas, se existir.","Navegar o catalogo completo de dados_abertos deste dominio para achar o ID do dataset de licitacoes/despesas, se existir."
SESC,SC,Regional,Sesc-SC,https://www.sesc-sc.com.br/sobre-o-sesc/licitacoes,,,Desconhecida,Pagina HTML simples (nao confirmado dados abertos),Parcial,Baixa,
SESC,MG,Regional,Sesc-MG,https://sescmg.com.br/licitacoes/,,,Desconhecida,Pagina HTML simples,Parcial,Baixa,
SESC,DF,Regional,Sesc-DF,,,,Desconhecida,API encontrada e apenas de login/app (www-api.sescdf.com.br) - nao e de dados abertos,Nao,Baixa,"Nao usar para o RAG; e autenticacao de app, nao dataset publico."
SESC,MA,Regional,Sesc-MA,,,,Desconhecida,API encontrada e de app/login (api.sescma.com.br) - nao e de dados abertos,Nao,Baixa,Mesma ressalva do SESC-DF.
